pdb_id,chain_auth,chain_asym,label,description
1ZGL,B,B,MHC,"major histocompatibility complex, class II, DR beta 5"
1ZGL,J,P,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
1ZGL,G,K,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
1ZGL,D,F,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
1ZGL,A,A,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
2IAM,A,A,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
2IAM,D,E,TCR_BETA,CD4+ T cell receptor E8 beta chain
2IAM,C,D,TCR_ALPHA,CD4+ T cell receptor E8 alpha chain
2IAM,P,C,PEPTIDE,15-mer peptide from Triosephosphate isomerase
2IAM,B,B,MHC,"HLA class II histocompatibility antigen, DRB1-1 beta chain"
2IAN,S,S,TCR_ALPHA,CD4+ T cell receptor E8 alpha chain
2IAN,N,N,TCR_ALPHA,CD4+ T cell receptor E8 alpha chain
2IAN,I,I,TCR_ALPHA,CD4+ T cell receptor E8 alpha chain
2IAN,D,D,TCR_ALPHA,CD4+ T cell receptor E8 alpha chain
2IAN,T,T,TCR_BETA,CD4+ T cell receptor E8 beta chain
2IAN,O,O,TCR_BETA,CD4+ T cell receptor E8 beta chain
2IAN,J,J,TCR_BETA,CD4+ T cell receptor E8 beta chain
2IAN,E,E,TCR_BETA,CD4+ T cell receptor E8 beta chain
2IAN,R,R,PEPTIDE,15-mer peptide from Triosephosphate isomerase
2IAN,M,M,PEPTIDE,15-mer peptide from Triosephosphate isomerase
2IAN,H,H,PEPTIDE,15-mer peptide from Triosephosphate isomerase
2IAN,C,C,PEPTIDE,15-mer peptide from Triosephosphate isomerase
2IAN,Q,Q,MHC,"HLA class II histocompatibility antigen, DRB1-1 beta chain"
2IAN,L,L,MHC,"HLA class II histocompatibility antigen, DRB1-1 beta chain"
2IAN,G,G,MHC,"HLA class II histocompatibility antigen, DRB1-1 beta chain"
2IAN,B,B,MHC,"HLA class II histocompatibility antigen, DRB1-1 beta chain"
2IAN,P,P,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
2IAN,K,K,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
2IAN,F,F,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
2IAN,A,A,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
2WBJ,H,H,TCR,OB TCR
2WBJ,D,D,TCR,OB TCR
2WBJ,G,G,TCR,OB TCR
2WBJ,C,C,TCR,OB TCR
